epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4330.94,1.5656,7.81968,1.16274,0.68889,0.66973,0.70913,0.47603,1.39232,4.56883,1.02203,0.00999781,0.0033326,0.00999781,0.0033326,0.00999781,0.0033326,0.00999781,0.0033326
2,8794.8,1.51475,5.56057,1.16408,0.61439,0.6767,0.67898,0.47847,1.25509,4.29906,1.0222,0.0197503,0.00658345,0.0197503,0.00658345,0.0197503,0.00658345,0.0197503,0.00658345
3,13790.3,1.56609,5.62139,1.19753,0.66746,0.66935,0.67183,0.48692,1.1811,4.16949,1.0344,0.0292554,0.00975179,0.0292554,0.00975179,0.0292554,0.00975179,0.0292554,0.00975179
4,18739.6,1.5382,5.38326,1.19844,0.70064,0.71509,0.75598,0.55216,1.18582,3.77405,1.02462,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,23591.7,1.46183,4.97038,1.17216,0.6618,0.78577,0.76704,0.57376,1.08357,3.50283,0.99598,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,4311.67,1.41311,4.70383,1.15239,0.74658,0.7782,0.79813,0.60141,1.12368,3.29577,1.00084,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,8325.58,1.37899,4.5057,1.14174,0.8056,0.77072,0.83193,0.65062,1.0527,3.08822,0.98813,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,12336.1,1.35757,4.35984,1.13416,0.79347,0.80615,0.84165,0.67384,0.98145,3.02583,0.96695,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,16359.1,1.33644,4.23612,1.12532,0.83498,0.80427,0.86319,0.69353,0.95856,2.85141,0.96395,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,4520.92,1.31206,4.11268,1.11401,0.83471,0.82251,0.87076,0.70306,0.93483,2.78009,0.95641,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,5022.8,1.26379,3.81135,1.09615,0.83943,0.82044,0.87744,0.71266,0.93276,2.70885,0.95666,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,4965.12,1.23595,3.61426,1.08562,0.84134,0.82301,0.89166,0.71779,0.9146,2.66839,0.95319,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,9710.78,1.28805,3.97525,1.10613,0.85896,0.80383,0.8853,0.72532,0.91388,2.62163,0.95011,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,14495.5,1.27746,3.90261,1.10281,0.84316,0.83802,0.90154,0.73805,0.89551,2.57878,0.94537,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,19273.9,1.26438,3.83874,1.09536,0.83463,0.8469,0.89677,0.73813,0.87833,2.52152,0.93841,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,4933.86,1.22153,3.574,1.08081,0.82364,0.85014,0.90351,0.74432,0.87997,2.47015,0.93893,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,9671.81,1.23636,3.69898,1.08529,0.81069,0.86644,0.91049,0.75891,0.88098,2.45858,0.93899,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,4616.74,1.18381,3.34024,1.06355,0.84525,0.84759,0.91369,0.75623,0.87445,2.42718,0.93333,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,9111.89,1.21929,3.58449,1.07594,0.84876,0.85024,0.91514,0.76342,0.8736,2.41644,0.93133,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,4280.41,1.15866,3.17521,1.05509,0.8443,0.85121,0.91562,0.76357,0.86734,2.40045,0.93021,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,8587.65,1.20726,3.53068,1.07207,0.84642,0.85311,0.9159,0.76835,0.87196,2.38798,0.93066,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
