epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,4455.84,1.08912,3.01794,1.04092,0.85899,0.83698,0.90931,0.76951,0.8659,2.40141,0.92704,0.00999781,0.0033326,0.00999781,0.0033326,0.00999781,0.0033326,0.00999781,0.0033326
2,9051.71,1.12086,3.21388,1.04773,0.87806,0.84293,0.91527,0.76584,0.89339,2.41633,0.92947,0.0197503,0.00658345,0.0197503,0.00658345,0.0197503,0.00658345,0.0197503,0.00658345
3,13331.8,1.18876,3.6162,1.07091,0.84913,0.81973,0.88844,0.73477,0.89978,2.73018,0.94196,0.0292554,0.00975179,0.0292554,0.00975179,0.0292554,0.00975179,0.0292554,0.00975179
4,4449.23,1.19978,3.58859,1.07185,0.85211,0.85417,0.8988,0.72444,0.97292,2.64599,0.9508,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,9147,1.22927,3.7857,1.08507,0.86506,0.83166,0.89769,0.73563,0.94266,2.56333,0.94419,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,14915,1.23715,3.82233,1.08968,0.84824,0.82211,0.89424,0.74096,0.90397,2.59448,0.93253,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,4822.69,1.1951,3.54454,1.07067,0.86912,0.83947,0.91409,0.75637,0.88179,2.44327,0.93208,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,9514.37,1.1965,3.57019,1.07213,0.87652,0.83693,0.90998,0.743,1.01816,2.48347,0.95891,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,14247.8,1.20217,3.59417,1.07675,0.85293,0.84321,0.90507,0.75848,0.87532,2.43493,0.94348,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,18869.8,1.21294,3.6903,1.08389,0.86678,0.856,0.92036,0.77091,0.85751,2.38564,0.93135,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
